date,clones,clones_uniques,views,views_uniques
2025-05-29,1.0,1.0,19.0,1.0
2025-05-30,1.0,1.0,,
2025-05-31,,,1.0,1.0
2025-06-01,,,2.0,1.0
2025-06-02,,,8.0,4.0
2025-06-03,,,4.0,2.0
2025-06-04,,,14.0,6.0
2025-06-05,,,23.0,9.0
2025-06-06,,,39.0,8.0
2025-06-07,2.0,2.0,,
2025-06-09,,,2.0,2.0
2025-06-10,1.0,1.0,4.0,4.0
2025-06-11,,,4.0,1.0
2025-06-12,,,49.0,7.0
2025-06-13,,,54.0,8.0
2025-06-14,,,1.0,1.0
2025-06-16,,,43.0,5.0
2025-06-17,1.0,1.0,11.0,7.0
2025-06-18,,,2.0,2.0
2025-06-19,,,23.0,11.0
2025-06-20,,,4.0,3.0
2025-06-23,,,52.0,7.0
2025-06-24,,,9.0,3.0
2025-06-25,4.0,2.0,15.0,3.0
2025-06-26,,,32.0,8.0
2025-06-27,,,4.0,4.0
2025-06-29,1.0,1.0,,
2025-06-30,1.0,1.0,9.0,5.0
2025-07-01,,,11.0,7.0
2025-07-02,,,1.0,1.0
2025-07-03,2.0,2.0,24.0,9.0
2025-07-04,,,10.0,7.0
2025-07-05,,,1.0,1.0
2025-07-06,,,2.0,1.0
2025-07-07,,,26.0,7.0
2025-07-08,1.0,1.0,7.0,4.0
2025-07-09,,,7.0,4.0
2025-07-10,1.0,1.0,146.0,11.0
2025-07-11,,,30.0,7.0
2025-07-13,1.0,1.0,,
2025-07-14,1.0,1.0,1.0,1.0
2025-07-15,2.0,1.0,38.0,12.0
2025-07-16,1.0,1.0,55.0,6.0
2025-07-17,2.0,1.0,3.0,3.0
2025-07-18,1.0,1.0,7.0,3.0
2025-07-20,1.0,1.0,,
2025-07-21,1.0,1.0,72.0,7.0
2025-07-22,3.0,3.0,10.0,3.0
2025-07-23,1.0,1.0,23.0,4.0
2025-07-24,,,12.0,3.0
2025-07-25,,,1.0,1.0
2025-07-26,2.0,2.0,,
2025-07-28,1.0,1.0,4.0,3.0
2025-07-30,,,2.0,2.0
2025-07-31,,,15.0,9.0
2025-08-01,1.0,1.0,3.0,3.0
2025-08-02,,,1.0,1.0
2025-08-03,1.0,1.0,9.0,3.0
2025-08-04,1.0,1.0,4.0,1.0
2025-08-05,,,1.0,1.0
2025-08-06,1.0,1.0,12.0,2.0
2025-08-07,,,6.0,4.0
2025-08-08,,,12.0,4.0
2025-08-09,1.0,1.0,,
2025-08-10,,,1.0,1.0
2025-08-11,,,1.0,1.0
2025-08-12,1.0,1.0,7.0,1.0
2025-08-13,1.0,1.0,,
2025-08-14,,,1.0,1.0
2025-08-15,,,1.0,1.0
2025-08-19,1.0,1.0,1.0,1.0
2025-08-20,1.0,1.0,,
2025-08-21,,,13.0,1.0
2025-08-22,1.0,1.0,1.0,1.0
2025-08-25,1.0,1.0,3.0,1.0
2025-08-27,,,1.0,1.0
2025-08-28,1.0,1.0,2.0,2.0
2025-08-29,,,1.0,1.0
2025-09-01,1.0,1.0,10.0,3.0
2025-09-02,,,1.0,1.0
2025-09-03,2.0,2.0,20.0,3.0
2025-09-04,,,45.0,9.0
